Name,Speciality,Degree,State,City,More Details,User_ID,Recent_tweet,date,home_team,score,away_team
Dr. Aggarwal Narender,Acupressure-Acupuncture,"BHMS, MD (Acu)",Haryana,Rewari,https://www.drdata.in/drnarenderaggarwal-acupressure,,,,,,
Dr. Arya Dinesh,Acupressure-Acupuncture,MD (AM),Madhya Pradesh,Indore,https://www.drdata.in/drdinesharya-acupressure,,,,,,
Dr. Bage Ravindra,Acupressure-Acupuncture,MD (AM) Ph.D (AM),Madhya Pradesh,Indore,https://www.drdata.in/drravindrabage-acupressure,,,,,,
Dr. Bindal Pallavi,Acupressure-Acupuncture,Diploma in Acupressure,Madhya Pradesh,Indore,https://www.drdata.in/drpallavibindal-acupressure,,,,,,
Dr. Chaturvedi Ajay,Acupressure-Acupuncture,BAMS,Madhya Pradesh,Jabalpur,https://www.drdata.in/drajaychaturvedi-acupressure,,,,,,
Dr. Dubey Anustha,Acupressure-Acupuncture,MD (AM),Madhya Pradesh,Indore,https://www.drdata.in/dranusthadubey-acupressure,,,,,,
Dr. Durgesh Pawar,Acupressure-Acupuncture,"N.D, M.D.Acu",Madhya Pradesh,Betul,https://www.drdata.in/drdurgeshpawar-acupressure,,,,,,
Dr. Jain Mayur,Acupressure-Acupuncture,"DHMS, D.Acu/Ac",Madhya Pradesh,Jabalpur,https://www.drdata.in/drmayurjain-acupressure,,,,,,
Dr. Jain Narendra,Acupressure-Acupuncture,"BAMS, MD (Accp.)",Madhya Pradesh,Bhopal,https://www.drdata.in/drnarendrajain-acupressure,,,,,,
Dr. Jain Sangeeta,Acupressure-Acupuncture,"BHMS, D.Accu.",Madhya Pradesh,Sagar,https://www.drdata.in/drsangeetajain-acupressure,,,,,,
Dr. Jethani Jyoti,Acupressure-Acupuncture,Diploma in Acupressure,Madhya Pradesh,Indore,https://www.drdata.in/drjyotijethani-acupressure,,,,,,
Dr. Jha Rashmi,Acupressure-Acupuncture,BAMS,Madhya Pradesh,Bhopal,https://www.drdata.in/drrashmijha-acupressure,,,,,,
Dr. Jhingran Arvind,Acupressure-Acupuncture,MD (AM),Madhya Pradesh,Jabalpur,https://www.drdata.in/drarvindjhingran-acupressure,,,,,,
Dr. Khan Ghazala,Acupressure-Acupuncture,BIAM,Madhya Pradesh,Bhopal,https://www.drdata.in/drghazalakhan-acupressure,,,,,,
Dr. Manikpuri G.D.,Acupressure-Acupuncture,Diploma in Acupressure,Chhattisgarh,Surguja,https://www.drdata.in/drgdmanikpuri-acupressure,,,,,,
Dr. Mishra Awdhesh,Acupressure-Acupuncture,D.Acu,Madhya Pradesh,Sagar,https://www.drdata.in/drawdheshmishra-acupressure,,,,,,
Dr. Mishra L.S.,Acupressure-Acupuncture,"AVR, Diploma in Acupressure",Madhya Pradesh,Jabalpur,https://www.drdata.in/drlsmishra-acupressure,,,,,,
Dr. Parmar Harshad K.,Acupressure-Acupuncture,Diploma in Acupressure,Madhya Pradesh,Jabalpur,https://www.drdata.in/drharshadkparmar-acupressure,,,,,,
Dr. Pawar Harshal Ashok,Acupressure-Acupuncture,"MD (AM), PhD, D.Acu., DYA",Maharashtra,Thane,https://www.drdata.in/drharshalashokpawar-acupressure,,,,,,
Dr. Prabhas,Acupressure-Acupuncture,DAC (Acu),Madhya Pradesh,Jabalpur,https://www.drdata.in/drprabhas-acupressure,,,,,,
Dr. Rao Anjali,Acupressure-Acupuncture,"Diploma in Acupressure, D.Yoga",Madhya Pradesh,Indore,https://www.drdata.in/dranjalirao-acupressure,,,,,,
Dr. Richard Peter,Acupressure-Acupuncture,MD (AM),Madhya Pradesh,Indore,https://www.drdata.in/drpeterrichard-acupressure,,,,,,
